,source_language,split,target_language
700,he is madly in love with that girl .,train,il est fou amoureux de cette fille.
701,he is putting on weight .,train,il grossit.
702,he is responsible for the accident .,train,il est responsable de cet accident.
703,he is the richest man on earth .,train,c'est l'homme le plus riche de la terre.
704,i am positive that he is wrong .,train,je suis certain qu'il a tort.
705,he is to come here at six o'clock .,train,il doit venir ici ã  six heures.
706,she is a runner .,train,c'est une coureuse.
707,she is gaining weight .,train,elle prend du poids.
708,we are leaving japan next month .,train,nous quittons le japon le mois prochain.
709,we are going to climb that mountain .,train,nous allons escalader cette montagne.
710,he is a genius .,train,c'est un gã©nie.
711,they are all very happy .,train,ils sont tous trã¨s heureux.
712,we are looking for a place to stay .,train,nous sommes ã  la recherche d'un endroit oã¹ sã©journer.
713,she is engaged to him .,train,c'est sa fiancã©e.
714,i am good .,train,je suis bon.
715,she is wearing a blue dress .,train,elle porte une robe bleue.
716,i am a cat person .,train,j'aime les chats.
717,he is fluent in french .,train,il parle couramment le franã§ais.
718,they are negotiating to reach a satisfactory compromise .,train,elles sont en train de nã©gocier pour arriver ã  un compromis satisfaisant.
719,he is very sensitive to cold .,train,c'est un frileux.
720,he is afraid of making mistakes .,train,il craint de commettre des erreurs.
721,you are twice as strong as me .,train,vous ãªtes deux fois plus forts que moi.
722,you are under no obligation to divulge that information .,train,vous n'ãªtes aucunement dans l'obligation de divulguer cette information.
723,he is one of my neighbors .,train,c'est l'un de mes voisins.
724,she is completely deaf in her left ear .,train,elle est complã¨tement sourde de l'oreille gauche.
725,they are currently attending a meeting .,train,ils sont actuellement en rã©union.
726,they are pleased with your work .,train,ils sont satisfaits de ton travail.
727,she is pigeon-toed .,train,elle a les pieds en dedans.
728,he is something of an artist .,train,"c'est un artiste, en quelque sorte."
729,she is sharp .,train,elle est affã»tã©e.
730,i am not about to pay ten dollars .,train,je ne vais tout de mãªme pas payer dix dollars.
731,she is giving a party tonight .,train,"elle donne une fãªte, ce soir."
732,you are very rich .,train,tu es trã¨s riche.
733,he is a quiet man .,train,c'est un homme taiseux.
734,she is a charming woman .,train,c'est une femme charmante.
735,he is pleased with his new shoes .,train,il est content de ses nouvelles chaussures.
736,he is said to be rich .,train,on dit qu'il est riche.
737,he is not the man that he was when i first knew him .,train,il n'est plus le mãªme homme que lorsque je l'ai connu pour la premiã¨re fois.
738,she is connected with that company .,train,elle est en relation avec cette sociã©tã©.
739,he is ahead of his class in english .,train,il est en tãªte de la classe en anglais.
740,they are playing chess .,train,ils jouent aux ã©checs.
741,he is going to the concert .,train,il se rend au concert.
742,he is almost always at home .,train,il est presque toujours chez lui.
743,she is anxious about her safety .,train,elle est inquiã¨te pour sa sã©curitã©.
744,i am sorry that i have n't written to you in such a long time .,train,je suis dã©solã© de ne pas t'avoir ã©crit pendant aussi longtemps.
745,you are not at all wrong .,train,vous n'avez pas tort du tout.
746,she is great at skiing .,train,elle est trã¨s bonne en ski.
747,i am doing my best .,train,je fais de mon mieux.
748,they are gathering nuts .,train,ils ramassent des noisettes.
749,he is the president in name only .,train,il n'est prã©sident que de nom.
750,you are taller than she is .,train,vous ãªtes plus grande qu'elle.
751,he is away from home .,train,il est loin de chez lui.
752,you are the one .,train,vous ãªtes l'ã©lu.
753,i am married and i have two sons .,train,je suis mariã©e et j'ai deux fils.
754,he is a student at yushu high school .,train,il est ã©tudiant au lycã©e yushu.
755,she is able to skate .,train,elle est capable de patiner.
756,she is always complaining about my small salary .,train,elle se plaint toujours de mon faible salaire.
757,she is fond of cake .,train,elle adore les gã¢teaux.
758,i am afraid you have the wrong number .,train,j'ai peur que vous ayez le mauvais numã©ro.
759,i am happy to hear your voice .,train,je me rã©jouis d'entendre ta voix.
760,i am very tired from the hard work .,train,je suis trã¨s fatiguã© par le dur labeur.
761,they are disappointed in their son .,train,ils sont dã©ã§us par leur fils.
762,i am disappointed at the news .,train,je suis dã©ã§u par les nouvelles.
763,she is attractive .,train,elle est attirante.
764,he is very sociable .,train,il est trã¨s sociable.
765,they are in the teachers ' room .,train,ils sont en salle des profs.
766,i am out of work .,train,je suis au chã´mage.
767,you are free to do as you please with your money .,train,vous ãªtes libre de faire ce que bon vous semble avec votre argent.
768,she is not here yet .,train,elle n'est pas encore lã .
769,she is a good dancer .,train,c'est une bonne danseuse.
770,she is lucky .,train,elle est chanã§arde.
771,she is a student who studies very hard .,train,c'est une ã©tudiante qui ã©tudie sã©rieusement.
772,i am impressed by your recent advertisement in the new york times .,train,je suis impressionnã© par votre rã©cente publicitã© dans le new york times.
773,he is a tennis player .,train,c'est un joueur de tennis.
774,she is devoted to her children .,train,elle est dã©vouã©e ã  ses enfants.
775,you are deranged .,train,tu es dã©rangã©.
776,he is leaving chicago tomorrow .,train,il quittera chicago demain.
777,you are blinded by love .,train,vous ãªtes aveuglã© par l'amour.
778,he is very clever for a boy of ten .,train,il est trã¨s intelligent pour un garã§on de dix ans.
779,you are n't permitted to bring dogs into this building .,train,vous n'ãªtes pas autorisã© ã  emmener des chiens dans ce bã¢timent.
780,you are a student .,train,vous ãªtes une ã©tudiante.
781,he is a man of reason .,train,c'est un homme de raison.
782,i am going to get dressed .,train,je vais m'habiller.
783,i am ashamed of your conduct .,train,j'ai honte de ta conduite.
784,he is a little over forty .,train,il a un peu plus de quarante ans.
785,she is not afraid to die .,train,elle n'a pas peur de mourir.
786,you are what you eat .,train,on est ce qu'on mange.
787,you are n't invited .,train,vous n'ãªtes pas invitã©s.
788,she is a beauty .,train,c'est une beautã©.
789,i am eating lunch with my sister .,train,je suis en train de dã©jeuner avec ma så“ur.
790,we are in the era of atomic energy .,train,nous sommes ã  l'ã¨re de l'ã©nergie nuclã©aire.
791,they are talking in the kitchen .,train,elles parlent dans la cuisine.
792,she is proud of her son .,train,elle est fiã¨re de son fils.
793,he is fresh from college .,train,il est frais ã©moulu de l'ã©cole.
794,he is good at voicing the concerns others are too nervous to speak up about .,train,il est bon pour exprimer les inquiã©tudes que les autres sont trop nerveux pour soulever.
795,he is a fast speaker .,train,il parle vite.
796,he is a brave and cheerful boy .,train,c'est un garã§on gai et courageux.
797,she is getting breakfast ready .,train,elle est en train de prã©parer le petit-dã©jeuner.
798,they are all innocent children .,train,ce sont tous des enfants innocents.
799,i am thinking of closing my savings account .,train,je pense clã´turer mon compte d'ã©pargne.
800,he is smelling the soup .,train,il hume la soupe.
801,i am familiar with this part of town .,train,je suis familier de cette partie de la ville.
802,they are jealous of our success .,train,elles sont jalouses de notre succã¨s.
803,you are very brave .,train,vous ãªtes trã¨s courageux.
804,he is dead drunk .,train,il est ivre mort.
805,he is a clever boy .,train,c'est un garã§on intelligent.
806,he is beyond help .,train,il n'y a rien ã  en tirer.
807,you are very insensitive .,train,vous ãªtes trã¨s indã©licat.
808,you are n't supposed to swim here .,train,vous n'ãªtes pas censã© nager ici.
809,she is as thin as a broom stick .,train,elle est maigre comme un manche ã  balai.
810,he is likely to be late for school .,train,il est sã»rement en retard pour l'ã©cole.
811,he is innocent of the crime .,train,il est innocent du crime.
812,he is skating .,train,il fait du patin.
813,she is as beautiful as a rose .,train,elle est aussi belle qu'une rose.
814,he is n't the only one with this opinion .,train,il n'est pas le seul ã  avoir cette opinion.
815,you are taller than me .,train,vous ãªtes plus grande que moi.
816,you are naughty .,train,vous ãªtes vilaine.
817,you are a troublemaker .,train,tu es un fouteur de merde.
818,he is proud of having won the prize .,train,il est fier d'avoir gagnã© le prix.
819,he is not very strict about it .,train,il n'est pas trã¨s strict ã  propos de ã§a.
820,she is talking .,train,elle est en train de s'exprimer.
821,i am afraid i must be going now .,train,j'ai peur de devoir partir maintenant.
822,she is good at playing tennis .,train,elle est douã©e pour jouer au tennis.
823,they are approaching .,train,elles approchent.
824,she is two years older than you .,train,elle a deux ans de plus que toi.
825,he is n't as stupid as he looks .,train,il n'est pas aussi bãªte qu'il en a l'air.
826,i am in the habit of taking a walk every day .,train,j'ai pour habitude de faire une promenade chaque jour.
827,he is subject to fits of anger .,train,il est sujet ã  des crises de colã¨re.
828,he is said to have made a fortune in oil .,train,on dit qu'il a fait fortune dans le pã©trole.
829,you are both pretty and kind .,train,tu es ã  la fois mignonne et gentille.
830,she is a most gracious neighbor .,train,c'est une voisine des plus courtoises.
831,she is a very nice person .,train,c'est une personne trã¨s sympa.
832,he is no ordinary student .,train,ce n'est pas un ã©lã¨ve ordinaire.
833,i am sure of his success .,train,je suis sã»re de son succã¨s.
834,he is the taller of the two .,train,il est le plus grand des deux.
835,he is confident of his ability .,train,il est confiant dans ses capacitã©s.
836,we are good friends .,train,nous sommes de bonnes amies.
837,he is a self-made man .,train,c'est un homme qui s'est fait lui-mãªme.
838,i am a muslim .,train,je suis musulmane.
839,i am looking forward to seeing you next sunday .,train,j'ai hã¢te de te revoir dimanche prochain.
840,you are as tall as my sister .,train,tu es aussi grand que ma så“ur.
841,she is always at the bottom of the class .,train,elle est toujours au bas de la classe.
842,you are n't tom .,train,vous n'ãªtes pas tom.
843,you are wrong .,train,tu as tort.
844,i am from russia .,train,je viens de russie.
845,he is hard up for money .,train,il est fauchã©.
846,i am cooking now .,train,je cuisine en ce moment.
847,you are so childish sometimes .,train,vous ãªtes parfois si puã©ril.
848,she is young .,train,elle est jeune.
849,he is popular with his men .,train,il est aimã© de ses hommes.
850,i am growing to hate the girl .,train,je me mets ã  dã©tester cette fille.
851,he is enrolled at that university .,train,il est entrã© ã  cette universitã©.
852,i am out of work .,train,je suis sans travail.
853,he is well paid .,train,il est bien payã©.
854,he is very angry .,train,il est fort en colã¨re.
855,he is all but dead .,train,il est tout sauf mort.
856,"i am staying with my uncle for the time being , but later i will move to a small apartment .",train,"je rã©side avec mon oncle pour le moment, mais plus tard j'emmã©nagerai dans un petit appartement."
857,he is just right for the job .,train,il est parfait pour le poste.
858,we are here .,train,nous sommes ici.
859,he is used to making speeches .,train,il a l'habitude de rã©aliser des discours.
860,you are so cute .,train,comme tu es mignonne.
861,he is fond of this kind of music .,train,il aime beaucoup ce genre de musique.
862,i am accustomed to eating this sort of food .,train,j'ai l'habitude de manger ce type de nourriture.
863,i am now in an old castle .,train,je suis ã  prã©sent dans un vieux chã¢teau.
864,he is no longer a member of our club .,train,il n'est plus membre de notre club.
865,they are very big .,train,elles sont trã¨s grandes.
866,i am hers and she is mine .,train,je suis sien et elle est mienne.
867,he is a scientist .,train,c'est un scientifique.
868,we are not to be disturbed .,train,il ne faut pas nous dã©ranger.
869,you are n't the easiest person to live with .,train,vous n'ãªtes pas la personne la plus facile ã  vivre.
870,he is playing in his room .,train,il est en train de jouer dans sa chambre.
871,he is kind .,train,il est gentil.
872,she is no less beautiful than her sister is .,train,elle n'est pas moins belle que sa så“ur.
873,they are vegetarians .,train,ils sont vã©gã©tariens.
874,i am not going anywhere .,train,je ne vais nulle part.
875,he is used to walking long distances .,train,il est habituã© ã  marcher sur de longues distances.
876,you are such a liar !,train,tu es un de ces menteurs !
877,i am accustomed to staying up late .,train,je suis habituã© ã  veiller tard.
878,he is very careful .,train,il est trã¨s prudent.
879,he is very good at playing violin .,train,il est trã¨s douã© pour jouer du violon.
880,you are not permitted to bring dogs into this building .,train,tu n'es pas autorisã©e ã  amener des chiens dans ce bã¢timent.
881,i am ready .,train,je suis prãªt.
882,he is a good swimmer .,train,c'est un bon nageur.
883,i am very glad to see you .,train,je suis trã¨s content de te voir.
884,she is no longer the cheerful woman she once was .,train,elle n'est plus la femme gaie qu'elle ã©tait.
885,he is able to speak five languages .,train,il peut parler cinq langues.
886,i am dying to see her again .,train,j'ai trã¨s envie de la revoir.
887,she is in love with him .,train,elle est amoureuse de lui.
888,he is facing many difficulties .,train,il est confrontã© ã  de nombreuses difficultã©s.
889,i am not wholly convinced that you are right .,train,je ne suis pas totalement convaincu que vous ayez raison.
890,he is riding a bicycle .,train,il fait du vã©lo.
891,you are a good customer .,train,vous ãªtes un bon client.
892,you are very fortunate that you have such friends .,train,vous avez beaucoup de chance d'avoir de tels amis.
893,he is a reporter for time magazine .,train,il est reporter pour le time.
894,i am a housewife .,train,je suis femme au foyer.
895,he is always friendly to me .,train,il est toujours sympathique envers moi.
896,i am expecting a letter from her .,train,j'attends une lettre de sa part.
897,you are not permitted to bring dogs into this building .,train,vous n'ãªtes pas autorisã©s ã  amener des chiens dans ce bã¢timent.
898,she is really a nice girl .,train,c'est vraiment une gentille fille.
899,he is writing a novel .,train,il est en train d'ã©crire un roman.
900,i am off duty tomorrow .,train,je suis libre demain.
901,they are all very hungry .,train,ils ont tous trã¨s faim.
902,you are n't in any danger .,train,tu n'es pas en danger.
903,you are not permitted to bring dogs into this building .,train,vous n'ãªtes pas autorisã©es ã  amener des chiens dans ce bã¢timent.
904,i am free till 6 o'clock this evening .,train,je suis libre jusqu'ã  6 heures ce soir.
905,you are always watching tv .,train,tu regardes tout le temps la tã©lã©.
906,you are not a child anymore .,train,tu n'es plus un enfant.
907,he is away on holiday .,train,il est parti en vacances.
908,i am fond of music .,train,j'adore la musique.
909,i am happy to see you again .,train,je suis content de vous revoir.
910,she is very fond of gossip .,train,elle adore les commã©rages.
911,he is taller than any other boy in his class .,train,il est plus grand que tout autre garã§on de sa classe.
912,she is very beautiful .,train,elle est trã¨s belle.
913,i am looking at that .,train,je regarde ã§a.
914,he is likely to win the game .,train,il est probable qu'il remporte la partie.
915,she is able to speak ten languages .,train,elle sait parler dix langues.
916,they are afraid of death .,train,ils ont peur de la mort.
917,you are very nice .,train,tu es trã¨s sympa.
918,he is one of the american presidential candidates .,train,il est un des candidats aux prã©sidentielles amã©ricaines.
919,he is a learned man .,train,c'est un homme cultivã©.
920,she is five years younger than me .,train,elle a cinq ans de moins que moi.
921,he is used to such situations .,train,il est habituã© ã  de telles situations.
922,he is a considerate father .,train,c'est un pã¨re attentionnã©.
923,he is far from perfect .,train,il est loin d'ãªtre parfait.
924,he is a dreamer .,train,il est rãªveur.
925,they are all very hungry .,train,elles ont toutes trã¨s faim.
926,she is two years older than you .,train,elle est plus vieille que vous de deux ans.
927,you are n't invited .,train,vous n'ãªtes pas invitã©es.
928,you are very insensitive .,train,tu es trã¨s indã©licate.
929,i am from portugal .,train,je viens du portugal.
930,he is so honest that everybody trusts him .,train,il est tellement honnãªte que tout le monde lui fait confiance.
931,he is not at all a gentleman .,train,ce n'est pas du tout un gentleman.
932,he is falling .,train,il tombe.
933,she is ashamed of her old clothes .,train,elle a honte de ses vieux vãªtements.
934,i am leaving town for a few days .,train,je m'ã©loigne de la ville pour quelques jours.
935,he is never lazy .,train,il n'est jamais paresseux.
936,i am going to take two days off next week .,train,je vais prendre deux jours de congã© la semaine prochaine.
937,i am surprised to learn this .,train,je suis surpris de l'apprendre.
938,he is eager to please .,train,il cherche ã  plaire.
939,"i am sure i met him somewhere , but i do not remember who he is .",train,"je suis sã»r que je l'ai rencontrã© quelque part, mais je ne me rappelle plus qui il est."
940,she is making dinner .,train,elle prã©pare le souper.
941,i am yours and you are mine .,train,je suis tienne et tu es mienne.
942,i am learning to play the guitar now .,train,j'apprends ã  jouer de la guitare maintenant.
943,he is included among my friends .,train,il compte parmi mes amis.
944,he is twice as old as she is .,train,il est deux fois plus vieux qu'elle.
945,he is n't my cousin .,train,ce n'est pas mon cousin.
946,i am a twin .,train,j'ai un jumeau.
947,he is getting old .,train,il se fait vieux.
948,i am no longer tired .,train,je ne suis plus fatiguã©.
949,i am glad to see her .,train,je suis content de la voir.
950,he is on board the ship .,train,il est ã  bord du bateau.
951,they are a peace-loving people .,train,ce sont des personnes pacifiques.
952,she is deeply attached to her parents .,train,elle est profondã©ment liã©e ã  ses parents.
953,"you are , hands down , the biggest idiot i 've ever met .",train,"tu es, haut la main, le pire des idiots que j'aie jamais rencontrã©."
954,he is precisely the one you are looking for .,train,il est prã©cisã©ment celui que tu cherches.
955,he is looked up to as their leader .,train,il est considã©rã© comme leur chef.
956,"you are n't ready yet , are you ?",train,"tu n'es pas encore prãªte, n'est-ce pasâ€¯?"
957,he is very talented .,train,il est trã¨s talentueux.
958,we are going to visit our aunt next sunday .,train,"dimanche prochain, nous allons rendre visite ã  notre tante."
959,they are not tired .,train,ils ne sont pas fatiguã©s.
960,he is rarely in a good mood .,train,il est rarement de bonne humeur.
961,i am not concerned with this .,train,ceci m'est indiffã¨rent.
962,she is in a hurry because she is late .,train,elle est pressã©e parce qu'elle est en retard.
963,she is angry with me .,train,elle est en colã¨re aprã¨s moi.
964,you are a workaholic .,train,tu es un maniaque du travail.
965,he is a harsh critic .,train,c'est un critique acerbe.
966,he is an environmentalist .,train,c'est un ã©cologiste.
967,they are our guests .,train,ils sont nos invitã©s.
968,you are free to go home .,train,tu es libre de rentrer.
969,they are my friends .,train,elles sont mes amies.
970,he is not ashamed of his father being poor .,train,il n'a pas honte que son pã¨re soit pauvre.
971,you are so stupid .,train,vous ãªtes tellement idiotes !
972,they are as strong as us .,train,ils sont aussi forts que nous.
973,she is not very well off .,train,elle n'est pas trã¨s riche.
974,"i am being paranoid , are n't i ?",train,"je suis paranoã¯aque, nonâ€¯?"
975,i am wasting my time .,train,je suis en train de perdre mon temps.
976,they are pilots .,train,ils sont pilotes.
977,i am surprised by a lot of the things he does .,train,je suis surpris par toutes les choses qu'il fait.
978,you are beautiful .,train,vous ãªtes belles.
979,you are no longer welcome here .,train,tu n'es plus la bienvenue ici.
980,i am only joking .,train,je ne fais que blaguer.
981,"they are not enemies , but friends .",train,"ce ne sont pas des ennemies, mais des amies."
982,i am sorry that my friend is not here .,train,je suis dã©solã© que mon ami ne soit pas lã .
983,he is good at solving complicated mathematical problems .,train,il est bon pour rã©soudre des problã¨mes mathã©matiques complexes.
984,he is different from what he used to be .,train,il nâ€™est plus ce quâ€™il fut.
985,i am starting the year as sick as a dog .,train,j'inaugure l'annã©e avec la crã¨ve.
986,they are on good terms with each other .,train,ils sont en bons termes l'un avec l'autre.
987,he is not as smart as his older brother .,train,il n'est pas aussi ã©lã©gant que son frã¨re ainã©.
988,you are good .,train,vous ãªtes bonne.
989,he is still on his back .,train,il est toujours alitã©.
990,"she is fresh from college , so she has no experience .",train,"elle vient de sortir de l'universitã©, donc elle n'a pas d'expã©rience."
991,i am very dangerous .,train,je suis vraiment dangereux.
992,i am accustomed to living alone .,train,je suis habituã©e ã  vivre seule.
993,he is often late for school .,train,il est souvent en retard ã  l'ã©cole.
994,you are no longer welcome here .,train,vous n'ãªtes plus le bienvenu ici.
995,i am sure of his success .,train,je suis certaine de son succã¨s.
996,they are reading their book .,train,elles lisent leur livre.
997,he is a hard man to deal with .,train,c'est un homme avec qui il est difficile de traiter.
998,you are children .,train,vous ãªtes des enfants.
999,she is particular about her dress .,train,elle est difficile en matiã¨re d'habillement.
1000,"she is not a nurse , but a doctor .",train,"elle n'est pas infirmiã¨re, mais docteur."
1001,they are very interested in astronomy .,train,ils s'intã©ressent beaucoup ã  l'astronomie.
1002,he is going to the concert .,train,il va au concert.
1003,she is a self-educated woman .,train,c'est une femme autodidacte.
1004,you are n't tom .,train,tu n'es pas tom.
1005,i am responsible for her protection .,train,je suis responsable de sa protection.
1006,i am following that car .,train,je suis cette voiture.
1007,i am taking a holiday at the beach .,train,je prends des vacances ã  la plage.
1008,you are n't listening to what i 'm saying .,train,tu n'ã©coutes pas ce que je dis.
1009,she is busy at present and ca n't speak to you .,train,elle est occupã©e pour l'instant et ne peut vous parler.
1010,he is a gentleman .,train,c'est un monsieur.
1011,he is by far the best student .,train,il est de loin le meilleur des ã©tudiants.
1012,she is making dinner .,train,elle prã©pare le dã©jeuner.
1013,she is progressing in chinese .,train,elle fait des progrã¨s en chinois.
1014,he is a teacher at our school .,train,c'est un professeur de notre ã©cole.
1015,i am just a humble teacher .,train,je suis juste un simple instituteur.
1016,he is twice as old as i am .,train,il est deux fois plus ã¢gã© que moi.
1017,i am sorry to trouble you .,train,je suis dã©solã©e de te dã©ranger.
1018,he is not what he used to be .,train,il n'est plus comme il l'ã©tait.
1019,he is a good carpenter .,train,il est bon charpentier.
1020,i am not ready yet .,train,je ne suis pas encore prãªt.
1021,he is living apart from his wife .,train,il vit sã©parã© de sa femme.
1022,he is anxious to know the result .,train,il est impatient de connaã®tre le rã©sultat.
1023,he is rather optimistic .,train,il est plutã´t optimiste.
1024,you are such a sweetheart .,train,vous ãªtes tellement adorable !
1025,she is used to staying up all night .,train,elle est accoutumã©e ã  rester debout toute la nuit.
1026,i am looking for a good hotel .,train,je cherche un bon hã´tel.
1027,he is quite a gentleman .,train,c'est un gentleman.
1028,i am forever in your debt .,train,je suis pour toujours ton dã©biteur.
1029,he is one of the greatest scientists in the world .,train,c'est l'un des plus ã©minents scientifiques au monde.
1030,he is suffering from toothache .,train,il souffre d'un mal de dents.
1031,"you are tired , are n't you ?",train,"vous ãªtes fatiguã©, n'est-ce pasâ€¯?"
1032,he is very honest .,train,il est trã¨s honnãªte.
1033,i am really pleased with my new car .,train,je suis trã¨s content de ma nouvelle voiture.
1034,she is anxious to meet you .,train,elle est trã¨s dã©sireuse de vous rencontrer.
1035,she is not tall .,train,elle n'est pas grande.
1036,he is unmarried .,train,il n'est pas mariã©.
1037,she is very popular among the boys .,train,elle a beaucoup de succã¨s auprã¨s des garã§ons.
1038,she is more pretty than beautiful .,train,elle est davantage mignonne que belle.
1039,he is dreaming of becoming an astronaut .,train,il rãªve de devenir astronaute.
1040,she is as busy as a bee .,train,elle est affairã©e comme une abeille.
1041,"he is rarely , if ever , late for appointments .",train,"il est rarement, voire jamais, en retard aux rendez-vous."
1042,they are not at all interested .,train,elles ne sont pas du tout intã©ressã©es.
1043,he is quite an odd man .,train,c'est un homme assez ã©trange.
1044,he is in danger of losing his position unless he works harder .,train,"s'il ne travaille pas plus assidã»ment, il y a possibilitã© qu'il perde sa place."
1045,i am not interested in material gain .,train,je ne suis pas intã©ressã© par le gain matã©riel.
1046,you are suitable for the job .,train,vous convenez au poste.
1047,you are not japanese .,train,vous n'ãªtes pas japonaises.
1048,they are very big .,train,elles sont trã¨s massives.
1049,we are n't related .,train,nous ne sommes pas apparentã©es.
1050,i am from egypt .,train,je viens d'ã‰gypte.
1051,i am busy today .,train,je suis occupã© aujourdâ€™hui.
1052,she is hostile to me .,train,elle m'est hostile.
1053,you are n't ready for this .,train,tu n'es pas prãªt pour ã§a.
1054,he is ashamed to ask questions .,train,poser des questions lui fait honte.
1055,you are wrong .,train,vous avez tort.
1056,i am accustoming to this life style .,train,je m'habitue ã  ce mode de vie.
1057,i am a stranger here .,train,"ici, je suis un ã©tranger."
1058,i am very curious .,train,je suis trã¨s curieux.
1059,you are such a sweetheart .,train,tu es tellement adorable !
1060,"you are tired , are n't you ?",train,"tu es fatiguã©, nonâ€¯?"
1061,you are early .,train,tu es en avance.
1062,you are no longer welcome here .,train,vous n'ãªtes plus la bienvenue ici.
1063,he is a type of a person who calls a spade a spade .,train,"c'est le genre de personne ã  appeler un chat, un chat."
1064,she is unable to cope with stress .,train,elle est incapable de faire face ã  la tension.
1065,he is now almost as tall as his father .,train,il est maintenant presque aussi grand que son pã¨re.
1066,"you are n't ready yet , are you ?",train,"tu n'es pas encore prãªt, n'est-ce pas ?"
1067,he is very kind to me .,train,il est trã¨s gentil avec moi.
1068,i am glad to accept your invitation .,train,je suis heureuse d'accepter votre invitation.
1069,i am constantly forgetting people 's names .,train,j'oublie toujours les noms des gens.
1070,i am wondering if you would like to go and see kabuki with me while staying in japan .,train,je me demande si tu voudrais venir voir une piã¨ce de kabuki avec moi pendant que tu es au japon.
1071,he is a typical japanese .,train,c'est un japonais typique.
1072,she is n't adequate to the task .,train,elle ne convient pas ã  la tã¢che.
1073,they are on good terms with each other .,train,ils sont en bons termes les uns avec les autres.
1074,he is making cookies .,train,il est en train de faire des cookies.
1075,he is not man to lose heart at a single failure .,train,il n'est pas le genre de personne ã  se dã©courager ã  la moindre dã©convenue.
1076,i am totally confused .,train,je suis complã¨tement perdue.
1077,i am looking for my brother .,train,je cherche mon frã¨re.
1078,she is a famous singer .,train,c'est une cã©lã¨bre chanteuse.
1079,he is my teacher .,train,c'est mon prof.
1080,we are n't very hungry yet .,train,nous n'avons pas encore trã¨s faim.
1081,i am a gentleman 's daughter .,train,je suis la fille d'un gentilhomme.
1082,he is wandering around in a trance .,train,"il dã©ambule aux alentours, en transe."
1083,you are exactly like your father .,train,tu es exactement comme ton pã¨re.
1084,he is not running in the coming election .,train,il ne se prã©sente pas aux prochaines ã©lections.
1085,i am not proud of this .,train,je n'en suis pas fier.
1086,they are in favor of your plan .,train,ils sont en faveur de ton plan.
1087,she is appreciated by everyone .,train,elle est apprã©ciã©e de tout le monde.
1088,you are such a liar !,train,vous ãªtes une de ces menteuses !
1089,"we are good friends now , but there was a time when we did n't like each other .",train,"nous sommes de bons amis maintenant, mais il fut un temps oã¹ nous ne nous aimions pas."
1090,they are matters which we need to discuss .,train,ce sont des affaires dont nous devons parler.
1091,i am sure that you will be satisfied .,train,je suis sã»r que vous serez satisfaits.
1092,you are a bad person .,train,vous ãªtes un ãªtre mauvais.
1093,she is particular about what she wears .,train,elle porte une attention particuliã¨re ã  ce qu'elle met.
1094,he is always trying to do the impossible .,train,il essaye toujours de faire l'impossible.
1095,"you are n't in a hurry , are you ?",train,"vous n'ãªtes pas pressã©s, si ?"
1096,you are the kind of guitarist i like to sing with .,train,tu es le genre de guitariste avec qui j'aime chanter.
1097,she is a good swimmer .,train,elle est bonne nageuse.
1098,i am looking forward to seeing you again soon .,train,je me rã©jouis de vous revoir bientã´t.
1099,she is strong .,train,elle est forte.
1100,she is on the verge of a nervous breakdown .,train,elle est au bord de la crise de nerfs.
1101,"you are n't going to call my parents , are you ?",train,"vous n'allez pas appeler mes parents, n'est-ce pas ?"
1102,he is getting better bit by bit .,train,il s'amã©liore petit ã  petit.
1103,"you are n't busy now , are you ?",train,tu es disponible maintenant ?
1104,they are collecting contributions for the church .,train,ils collectent des dons pour l'ã©glise.
1105,she is n't fit for the job .,train,elle n'est pas apte pour le poste.
1106,i am convinced that he is innocent .,train,je suis convaincu de son innocence.
1107,i am very glad to see you .,train,je suis trã¨s heureux de vous voir.
1108,i am very sorry to inform you that she died .,train,je suis au regret de vous informer qu'elle est dã©cã©dã©e.
1109,i am a japanese .,train,je suis japonais.
1110,he is in the bathroom .,train,il est aux toilettes.
1111,she is not wrong .,train,elle n'a pas tort.
1112,you are the only one who can help me .,train,vous ãªtes le seul qui puisse m'aider.
1113,she is handicapped by poor hearing .,train,elle souffre d'une mauvaise audition.
1114,he is stronger than i am .,train,il a plus de force que moi.
1115,she is looking for her car keys .,train,elle cherche ses clã©s de voiture.
1116,you are wanted on the phone .,train,on te rã©clame au tã©lã©phone.
1117,he is seeking employment .,train,il cherche un emploi.
1118,she is japanese .,train,elle est japonaise.
1119,we are sorry we ca n't help you .,train,nous sommes dã©solã©s de ne pas pouvoir vous aider.
1120,he is rich enough to buy the painting .,train,il est assez riche pour acheter la peinture.
1121,you are important .,train,vous ãªtes importantes.
1122,they are discussing the problem .,train,ils discutent du problã¨me.
1123,i am a professor .,train,je suis professeur.
1124,she is as young as i am .,train,elle est aussi jeune que moi.
1125,he is not more than two or three years younger than i am .,train,il est mon cadet de 2 ou 3 ans tout au plus.
1126,i am in london .,train,je suis ã  londres.
1127,she is concerned about her son 's health .,train,elle est inquiã¨te ã  propos de la santã© de son fils.
1128,i am a bachelor .,train,je suis cã©libataire.
1129,he is guilty of murder .,train,il est coupable de meurtre.
1130,i am homesick .,train,j'ai le mal du pays.
1131,he is a member of the committee .,train,c'est un membre du comitã©.
1132,we are accustomed to wearing shoes .,train,nous sommes habituã©s ã  porter des chaussures.
1133,he is an expert in astronomy .,train,câ€™est un expert en astronomie.
1134,they are in the same class .,train,ils sont dans la mãªme classe.
